x,cortante,momento,pendiente,deflexion
0.0,0.0,0.0,0.0,0.0
4e-06,14574.7708148571,0.0291495416297142,3.4701835273469283e-14,2.1041165743955366e-08
0.0875,12686.4321428571,1192.6522565357104,3.105799179248247e-05,0.00046163422567396117
0.175,10798.0071428571,2220.0964752857067,0.0001199316566836652,0.0009285155234422981
0.26249999999999996,8909.5821428571,3082.3035065357026,0.00025801498954359766,0.001405326189862246
0.35,7021.1571428571,3779.273350285699,0.000436701886856655,0.0018959955538522628
0.4375,5132.7321428570995,4311.006006535696,0.0006473862451072122,0.0024036999102731876
0.5249999999999999,3244.307142857102,4677.501475285691,0.0008814619607796438,0.002930862519928242
0.6124999999999999,1355.882142857101,4878.759756535688,0.0011303229303583255,0.003479153609563034
0.7,-532.5428571429002,4914.780850285684,0.0013853630503276322,0.004049490371865551
0.7875,-2420.9678571429013,4785.56475653568,0.0016379762171719386,0.004642036965466162
0.875,-4309.3928571429005,4491.1114752856765,0.0018795563273756198,0.005256204514937624
0.9624999999999999,-6197.8178571429,4031.4210065356733,0.0021014972774230506,0.00589065111079507
1.0499999999999998,-8086.242857142895,3406.49335028567,0.002295192963798606,0.006543281809496022
1.1375,-9974.667857142898,2616.3285065356654,0.002452037282986662,0.007211248633440385
1.2249999999999999,-11863.092857142898,1660.926475285663,0.002563424131471592,0.007890950570970438
1.3125,-13751.5178571429,540.2872565356577,0.0026207474057377725,0.008578033576370854
1.4,-15639.9428571429,-745.5891497143448,0.0026154010022695776,0.00926739056986868
1.4874999999999998,-17528.367857142897,-2196.702743464347,0.0025387788175513827,0.009953161437633352
1.575,-19416.7928571429,-3813.053524714353,0.002382274748067562,0.010628733031776687
1.6624999999999999,-21305.217857142896,-5594.641493464354,0.0021372826903024917,0.011286739170352882
1.75,-23193.6428571429,-7541.466649714361,0.0017951965407405454,0.011919060637358522
1.8375,-25082.067857142894,-9653.528993464362,0.0013474101958661,0.012516825182732567
1.9249999999999998,-26970.492857142897,-11930.828524714363,0.0007853175521635296,0.013070407522356369
2.0124999999999997,-28858.917857142893,-14373.365243464365,0.00010031250611720931,0.013569429338053655
2.0999999999999996,-30747.34285714289,-16981.139149714363,-0.0007162110457884859,0.014002759277590541
2.1875,-32635.7678571429,-19754.150243464377,-0.001672859207069186,0.014358512954675526
2.275,-34524.192857142894,-22692.39852471438,-0.0027782380812405067,0.014624052948959482
2.3625,-36412.6178571429,-25795.88399346438,-0.004040953771818077,0.014785988806035674
2.4499999999999997,-38301.04285714289,-29064.60664971438,-0.005469612382317523,0.014830177037439747
2.5374999999999996,-40189.46785714289,-32498.56649346438,-0.007072820016254468,0.014741721120649727
2.625,-42077.8928571429,-36097.7635247144,-0.008859182777144547,0.014504971499086024
2.7125,-43966.317857142894,-39862.1977434644,-0.010837306768503368,0.014103525582111434
2.8,-45854.7428571429,-43791.8691497144,-0.013015798093846564,0.013520227745031132
2.8874999999999997,-47743.16785714289,-47886.7777434644,-0.01540326285668976,0.012737169329092673
2.9749999999999996,-49631.59285714289,-52146.9235247144,-0.01800830716054858,0.011735688641486
3.0625,-51520.0178571429,-56572.30649346442,-0.020839537108938662,0.010496370955343436
3.15,-53408.4428571429,-61162.92664971442,-0.023905558805375607,0.008999048509739694
3.2375,-55296.86785714289,-65918.78399346441,-0.027214978353375052,0.00722280050969186
3.3249999999999997,-57185.29285714289,-70839.87852471441,-0.030776401856452622,0.005145953126159404
3.4124999999999996,-59073.717857142896,-75926.2102434644,-0.03459843541812394,0.0027460794960441886
3.499996,-60962.056529142894,-81177.53530131566,-0.038689491763417426,1.337171878709742e-07
3.5,-60962.1428571429,-81177.77914971444,-0.03868968504355368,0.0
3.500004,10790.913671999995,-81177.87949217281,-0.03868987832409969,-1.3371796099559408e-07
3.5125,10521.224999999991,-81044.72124975016,-0.03929319190114465,-0.00042163933894442604
3.525,10251.449999999997,-80914.89203100017,-0.03989572022436171,-0.0008508163967791867
3.5375,9981.675000000003,-80788.43499975017,-0.04049729510170826,-0.0012875190996174887
3.55,9711.900000000009,-80665.35015600018,-0.041097941623865056,-0.0017317356862026692
3.5625,9442.125,-80545.63749975017,-0.041697684881512945,-0.002183454708911646
3.575,9172.349999999991,-80429.29703100017,-0.04229654996533271,-0.002642665033754793
3.5875,8902.574999999997,-80316.32874975017,-0.042894561966005135,-0.0031093558403760026
3.6,8632.800000000003,-80206.73265600017,-0.04349174597421106,-0.0035835166220527133
3.6125,8363.025000000009,-80100.50874975017,-0.04408812708063125,-0.004065137185695823
3.625,8093.25,-79997.65703100017,-0.04468373037594655,-0.0045542076518497975
3.6375,7823.474999999991,-79898.17749975016,-0.04527858095083774,-0.005050718454692564
3.65,7553.699999999997,-79802.07015600016,-0.045872703895985606,-0.005554660342035556
3.6625,7283.925000000003,-79709.33499975016,-0.046466124302071,-0.006066024375323772
3.675,7014.150000000009,-79619.97203100017,-0.04705886725977467,-0.006584801929635654
3.6875,6744.375,-79533.98124975017,-0.04765095785977747,-0.007110984693683216
3.7,6474.599999999991,-79451.36265600017,-0.04824242119276018,-0.0076445646698119415
3.7125,6204.824999999997,-79372.11624975018,-0.04883328234940359,-0.008185534174000808
3.725,5935.050000000003,-79296.24203100018,-0.04942356642038853,-0.008733885835862376
3.7375,5665.275000000009,-79223.73999975018,-0.050013298496395776,-0.00928961259864262
3.75,5395.5,-79154.61015600017,-0.05060250366810617,-0.009852707719221122
3.7625,5125.724999999991,-79088.85249975017,-0.05119120702620049,-0.0104231647681109
3.775,4855.949999999997,-79026.46703100017,-0.051779433661359515,-0.011000977629458498
3.7875,4586.175000000003,-78967.45374975017,-0.0523672086642641,-0.011586140501044007
3.8,4316.400000000009,-78911.81265600017,-0.052954557125595006,-0.012178647894280966
3.8125,4046.625,-78859.54374975017,-0.05354150413603307,-0.012778494634216507
3.825,3776.8499999999913,-78810.64703100018,-0.054128074786259084,-0.0133856758595312
3.8375,3507.074999999997,-78765.12249975017,-0.05471429416695383,-0.01400018702253912
3.85,3237.300000000003,-78722.97015600017,-0.055300187368798145,-0.014622023889187936
3.8625,2967.5250000000087,-78684.18999975018,-0.0558857794824728,-0.015251182539058723
3.875,2697.75,-78648.78203100017,-0.056471095598658635,-0.01588765936536616
3.8875,2427.9749999999913,-78616.74624975017,-0.05705616080803644,-0.016531451074958372
3.9,2158.199999999997,-78588.08265600017,-0.057641000201286985,-0.017182554688316982
3.9125,1888.425000000003,-78562.79124975017,-0.05822563886909112,-0.017840967539557214
3.925,1618.6500000000087,-78540.87203100017,-0.05881010190212962,-0.018506687276427687
3.9375,1348.875,-78522.32499975017,-0.05939441439108331,-0.019179711860310634
3.95,1079.0999999999913,-78507.15015600016,-0.059978601426632985,-0.019860039566221722
3.9625,809.3249999999971,-78495.34749975016,-0.06056268809945942,-0.02054766898281014
3.975,539.5500000000029,-78486.91703100016,-0.06114669950024347,-0.021242599012358646
3.9875,269.77500000000873,-78481.85874975016,-0.06173066071966589,-0.021944828870783417
3.999996,0.08632800000486895,-78480.17265617281,-0.06231440998884697,-0.022654129870786313
4.0,0.0,-39240.172656000155,-0.062314550132115204,-0.022654358087540818
